,home_victory,home_runs,away_runs,last_week_home_win_rate_ratio,last_year_home_st_ERA,last_3_week_home_st_ERA,last_week_home_re_ERA,last_week_home_runs_ave,last_year_away_st_ERA,last_3_week_away_st_ERA,last_week_away_re_ERA,last_week_away_runs_ave,last_week_home_team_OPS,last_week_away_team_OPS,last_week_home_OPS_ratio,last_year_home_win_rate,last_year_away_win_rate,last_year_home_st_ERA_ratio,last_3_week_home_st_ERA_ratio,last_year_home_st_APP,last_year_home_st_IP,last_year_away_st_APP,last_year_away_st_IP,home_st_pitching_interval,away_st_pitching_interval,this_year_home_st_IP_div_match,this_year_away_st_IP_div_match
0,1,3,1,0.5,1.91,1.91,3.436363636363637,3.5,3.11,3.11,3.3230769230769237,3.5,0.6907160311895851,0.6981023102310231,0.4970182350110888,0.528,0.539,0.38047813526767515,0.38047813526767515,25.0,179.0,27.0,168.0,7.0,7.0,1.0,1.0
1,0,2,5,0.5,2.97,2.97,3.436363636363637,3.5,2.52,2.52,3.3230769230769237,3.5,0.6907160311895851,0.6981023102310231,0.4970182350110888,0.496,0.446,0.5409835916271069,0.5409835916271069,29.0,193.33333333333334,28.0,207.0,7.0,7.0,1.0,1.0
2,0,1,2,0.5,1.85,1.85,3.436363636363637,3.5,3.27,3.27,3.3230769230769237,3.5,0.6907160311895851,0.6981023102310231,0.4970182350110888,0.493,0.43700000000000006,0.36132817916868,0.36132817916868,28.0,194.0,21.0,134.33333333333334,7.0,7.0,1.0,1.0
3,1,7,3,0.5,2.91,2.91,3.436363636363637,3.5,3.22,3.22,3.3230769230769237,3.5,0.6907160311895851,0.6981023102310231,0.4970182350110888,0.40700000000000003,0.647,0.4747145270099422,0.4747145270099422,28.0,194.33333333333334,20.0,134.0,7.0,7.0,1.0,1.0
4,1,5,4,0.5,2.84,2.84,3.436363636363637,3.5,3.19,3.19,3.3230769230769237,3.5,0.6907160311895851,0.6981023102310231,0.4970182350110888,0.5,0.433,0.47097845075341604,0.47097845075341604,23.0,133.0,16.0,93.0,7.0,7.0,1.0,1.0
5,1,3,2,0.5,3.39,3.39,3.436363636363637,3.5,2.24,2.24,3.3230769230769237,3.5,0.6907160311895851,0.6981023102310231,0.4970182350110888,0.514,0.56,0.6021314024399991,0.6021314024399991,28.0,188.33333333333334,22.0,160.33333333333334,7.0,7.0,1.0,1.0
6,1,10,5,0.6249997500005,3.19,3.19,4.5,3.375,3.31,3.31,9.0,2.875,0.5941558441558441,0.5226890756302521,0.5319949382673826,0.528,0.539,0.49076923360946656,0.49076923360946656,26.0,163.33333333333334,25.0,146.33333333333334,7.0,7.0,1.0,1.0
7,1,7,3,0.37500024999949993,3.72,3.72,3.8571428571428563,3.125,3.92,3.92,0.0,3.875,0.3734115347018573,0.8188761593016912,0.31318912086393297,0.496,0.446,0.48691099819083816,0.48691099819083816,27.0,159.33333333333334,33.0,140.0,7.0,7.0,1.0,1.0
8,1,3,1,0.37500024999949993,2.55,2.55,0.0,2.875,4.12,4.12,4.5,3.125,0.3392156862745098,0.4276094276094276,0.44236381951080916,0.493,0.43700000000000006,0.3823088808669023,0.3823088808669023,26.0,169.33333333333334,21.0,122.0,7.0,7.0,1.0,1.0
10,1,9,5,0.6249997500005,3.55,3.55,6.0,3.875,4.0,4.0,10.799999999999999,3.625,0.6923076923076923,0.6491557223264541,0.516083916083916,0.5,0.433,0.47019868339107723,0.47019868339107723,26.0,152.0,0.0,0.0,7.0,7.0,1.0,1.0
11,1,6,4,0.6249997500005,3.17,3.17,0.0,3.375,3.51,3.51,0.0,3.125,0.5358974358974359,0.45588235294117646,0.540339137708159,0.514,0.56,0.4745509058230821,0.4745509058230821,24.0,133.0,26.0,148.33333333333334,7.0,7.0,1.0,1.0
12,1,3,2,0.749999500001,2.71,2.71,9.0,5.0,4.0,4.0,10.5,3.25,0.8611111111111112,0.6545454545454545,0.5681439520159947,0.528,0.539,0.40387484236219306,0.40387484236219306,13.0,66.0,0.0,0.0,7.0,7.0,1.0,1.0
