url,date,team,opponent,place,home,runs,opponent_runs,victory,hits,errors,game_info,batter1_name,batter1_url,batter1_at_bat,batter1_hit,batter1_two_hit,batter1_three_hit,batter1_homerun,batter1_strikeout,batter1_four_balls,batter1_dead_ball,batter1_rbi,batter1_steal,batter1_position,batter2_name,batter2_url,batter2_at_bat,batter2_hit,batter2_two_hit,batter2_three_hit,batter2_homerun,batter2_strikeout,batter2_four_balls,batter2_dead_ball,batter2_rbi,batter2_steal,batter2_position,batter3_name,batter3_url,batter3_at_bat,batter3_hit,batter3_two_hit,batter3_three_hit,batter3_homerun,batter3_strikeout,batter3_four_balls,batter3_dead_ball,batter3_rbi,batter3_steal,batter3_position,batter4_name,batter4_url,batter4_at_bat,batter4_hit,batter4_two_hit,batter4_three_hit,batter4_homerun,batter4_strikeout,batter4_four_balls,batter4_dead_ball,batter4_rbi,batter4_steal,batter4_position,batter5_name,batter5_url,batter5_at_bat,batter5_hit,batter5_two_hit,batter5_three_hit,batter5_homerun,batter5_strikeout,batter5_four_balls,batter5_dead_ball,batter5_rbi,batter5_steal,batter5_position,batter6_name,batter6_url,batter6_at_bat,batter6_hit,batter6_two_hit,batter6_three_hit,batter6_homerun,batter6_strikeout,batter6_four_balls,batter6_dead_ball,batter6_rbi,batter6_steal,batter6_position,batter7_name,batter7_url,batter7_at_bat,batter7_hit,batter7_two_hit,batter7_three_hit,batter7_homerun,batter7_steal,batter7_strikeout,batter7_four_balls,batter7_rbi,batter9_run,batter7_dead_ball,batter8_name,batter8_url,batter8_at_bat,batter8_hit,batter8_two_hit,batter8_three_hit,batter8_homerun,batter8_steal,batter8_strikeout,batter8_four_balls,batter8_rbi,batter8_dead_ball,batter9_name,batter9_url,batter9_at_bat,batter9_hit,batter9_two_hit,batter9_three_hit,batter9_homerun,batter9_strikeout,batter9_four_balls,batter9_dead_ball,batter9_rbi,batter9_steal,batter9_position,other_batters_at_bat,other_batters_hit,other_batters_steal,other_batters_strikeout,other_batters_two_hit,other_batters_three_hit,other_batters_homerun,other_batters_four_balls,other_batters_dead_ball,st_name,st_url,st_pitches,st_batters,st_times,st_hits,st_homerun,st_four_balls,st_dead_ball,st_strikeout,st_wild_pitches,st_boke,st_runs,st_responsible_runs,re_pitches,re_batters,re_times,re_times_decimal,re_hits,re_homerun,re_four_balls,re_dead_ball,re_strikeout,re_wild_pitches,re_boke,re_runs,re_responsible_runs
http://npb.jp/scores/2017/0331/g-d-01/box.html,2017年3月31日（金）,中日ドラゴンズ,読売ジャイアンツ,東京ドーム,0,2,6,0,7,0,"            【試合終了】            ◇開始 18時03分      ◇試合時間 2時間31分      ◇入場者 45,331人    ",大島,http://npb.jp/bis/players/01305131.html,4,1,0,0,0,1,0,0,0,0,中,荒木,http://npb.jp/bis/players/71173882.html,4,0,0,0,0,0,0,0,0,0,二,ゲレーロ,http://npb.jp/bis/players/43545134.html,4,2,1,0,0,1,0,0,0,0,三,ビシエド,http://npb.jp/bis/players/13715132.html,4,0,0,0,0,1,0,0,0,0,一,平田,http://npb.jp/bis/players/61265112.html,4,1,0,0,0,1,0,0,0,0,右,遠藤,http://npb.jp/bis/players/41345130.html,4,2,2,0,0,0,0,0,0,0,左,京田,http://npb.jp/bis/players/81585134.html,4,1,0,0,0,2,0,0,0,0,遊,杉山,http://npb.jp/bis/players/61765137.html,2,0,0,0,0,1,0,0,1,捕,大野,http://npb.jp/bis/players/11515133.html,2,0,0,0,0,1,0,0,0,0,投,1,0,0,0,0,0,0,0,0,大野,http://npb.jp/bis/players/11515133.html,97,29,6,9,2,2,0,5,0,0,6,6,29,7,1,0,1,0,1,0,2,0,0,0,0
http://npb.jp/scores/2017/0331/g-d-01/box.html,2017年3月31日（金）,読売ジャイアンツ,中日ドラゴンズ,東京ドーム,1,6,2,1,10,1,"            【試合終了】            ◇開始 18時03分      ◇試合時間 2時間31分      ◇入場者 45,331人    ",中井,http://npb.jp/bis/players/21025116.html,3,2,0,0,0,0,1,0,0,0,二一,立岡,http://npb.jp/bis/players/81985118.html,4,1,0,0,0,0,0,0,0,0,中,坂本勇,http://npb.jp/bis/players/51955114.html,3,2,0,0,1,0,1,0,2,1,遊,阿部,http://npb.jp/bis/players/21125113.html,4,2,0,0,1,2,0,0,3,0,一,マギー,http://npb.jp/bis/players/21825137.html,3,1,1,0,0,0,1,0,1,0,三,長野,http://npb.jp/bis/players/91995131.html,4,1,0,0,0,0,0,0,0,0,右,岡本,http://npb.jp/bis/players/11515130.html,3,1,0,0,0,1,0,0,0,0,左,小林,http://npb.jp/bis/players/91795139.html,3,0,0,0,0,2,0,0,0,捕,マイコラス,http://npb.jp/bis/players/53555130.html,3,0,0,0,0,2,0,0,0,0,投,2,0,0,0,0,0,0,0,0,マイコラス,http://npb.jp/bis/players/53555130.html,99,27,7,6,0,0,0,4,0,0,2,1,29,7,1,0,1,0,0,0,4,0,0,0,0
http://npb.jp/scores/2017/0331/s-db-01/box.html,2017年3月31日（金）,横浜DeNAベイスターズ,東京ヤクルトスワローズ,神　宮,0,2,9,0,5,1,"            【試合終了】            ◇開始 18時02分      ◇試合時間 3時間20分      ◇入場者 30,681人    ",桑原,http://npb.jp/bis/players/51755135.html,4,0,0,0,0,1,0,0,0,0,中,梶谷,http://npb.jp/bis/players/61565114.html,4,2,0,0,0,1,0,0,0,0,右,ロペス,http://npb.jp/bis/players/93195137.html,4,2,0,0,1,0,0,0,2,0,一,筒香,http://npb.jp/bis/players/41945131.html,3,0,0,0,0,1,1,0,0,0,左,シリアコ,http://npb.jp/bis/players/53755134.html,3,0,0,0,0,1,0,0,0,0,三,田中浩,http://npb.jp/bis/players/21925110.html,3,1,0,0,0,1,0,0,0,0,二,倉本,http://npb.jp/bis/players/91795130.html,3,0,0,0,0,1,0,0,0,0,遊,戸柱,http://npb.jp/bis/players/41245132.html,2,0,0,0,0,0,0,0,0,捕,石田,http://npb.jp/bis/players/11315130.html,2,0,0,0,0,1,0,0,0,0,投,2,0,0,1,0,0,0,0,0,石田,http://npb.jp/bis/players/11315130.html,117,29,6,8,0,3,0,3,0,0,3,3,64,15,1,0,7,0,2,0,0,0,0,6,6
http://npb.jp/scores/2017/0331/s-db-01/box.html,2017年3月31日（金）,東京ヤクルトスワローズ,横浜DeNAベイスターズ,神　宮,1,9,2,1,15,0,"            【試合終了】            ◇開始 18時02分      ◇試合時間 3時間20分      ◇入場者 30,681人    ",大引,http://npb.jp/bis/players/91595114.html,5,2,1,0,0,0,0,0,0,0,遊,坂口,http://npb.jp/bis/players/21925117.html,3,1,1,0,0,0,2,0,0,0,中左,山田,http://npb.jp/bis/players/91895133.html,5,2,2,0,0,1,0,0,1,0,二,バレンティン,http://npb.jp/bis/players/13315133.html,3,2,1,0,0,0,1,0,1,0,左,雄平,http://npb.jp/bis/players/01005117.html,5,2,0,0,0,1,0,0,0,0,右,畠山,http://npb.jp/bis/players/31235113.html,4,1,0,0,0,0,1,0,1,0,一,中村,http://npb.jp/bis/players/51255118.html,5,3,2,0,0,0,0,0,3,0,捕,西浦,http://npb.jp/bis/players/91095139.html,3,1,0,0,0,0,1,0,2,三,石川,http://npb.jp/bis/players/11315115.html,2,1,0,0,0,1,0,0,0,0,投,2,0,1,0,0,0,0,0,0,石川,http://npb.jp/bis/players/11315115.html,76,22,6,5,1,1,0,3,0,0,2,2,42,9,1,0,0,0,0,0,5,0,0,0,0
http://npb.jp/scores/2017/0331/c-t-01/box.html,2017年3月31日（金）,阪神タイガース,広島東洋カープ,マツダスタジアム,0,10,6,0,16,3,"            【試合終了】            ◇開始 18時30分      ◇試合時間 4時間1分      ◇入場者 31,184人    ",髙山,http://npb.jp/bis/players/01005132.html,6,3,0,0,0,0,0,0,0,0,左,上本,http://npb.jp/bis/players/01305118.html,4,1,0,0,0,1,1,0,0,0,二,糸井,http://npb.jp/bis/players/91195119.html,5,3,1,0,0,1,1,0,3,0,中,福留,http://npb.jp/bis/players/61963888.html,5,3,0,0,1,0,0,1,2,0,右,原口,http://npb.jp/bis/players/61065131.html,4,3,1,0,0,0,1,0,1,0,一,北條,http://npb.jp/bis/players/11215137.html,5,0,0,0,0,3,1,0,0,0,遊,鳥谷,http://npb.jp/bis/players/21925119.html,4,2,0,0,0,1,1,0,1,0,三,梅野,http://npb.jp/bis/players/21325139.html,3,0,0,0,0,1,1,0,1,捕,メッセンジャー,http://npb.jp/bis/players/93195131.html,4,0,0,0,0,1,0,0,0,0,投,2,1,0,0,0,0,0,1,0,メッセンジャー,http://npb.jp/bis/players/93195131.html,125,26,5 +,7,0,3,0,8,0,0,4,2,58,19,1,0,4,1,1,0,1,0,0,2,1
http://npb.jp/scores/2017/0331/c-t-01/box.html,2017年3月31日（金）,広島東洋カープ,阪神タイガース,マツダスタジアム,1,6,10,1,11,2,"            【試合終了】            ◇開始 18時30分      ◇試合時間 4時間1分      ◇入場者 31,184人    ",田中,http://npb.jp/bis/players/61965139.html,4,0,0,0,0,0,1,0,1,0,遊,菊池,http://npb.jp/bis/players/61565135.html,5,1,0,0,0,2,0,0,0,0,二,丸,http://npb.jp/bis/players/21425116.html,4,1,0,0,0,2,1,0,0,0,中,新井,http://npb.jp/bis/players/01103888.html,5,1,0,0,1,1,0,0,1,0,一,松山,http://npb.jp/bis/players/01405116.html,4,0,0,0,0,0,1,0,0,0,左,鈴木,http://npb.jp/bis/players/81785137.html,5,3,2,0,0,1,0,0,0,0,右,安部,http://npb.jp/bis/players/91195116.html,3,1,0,0,0,1,0,0,1,0,三,石原,http://npb.jp/bis/players/51355115.html,2,1,0,0,0,1,0,0,1,捕,ジョンソン,http://npb.jp/bis/players/53355130.html,1,1,0,0,0,0,0,0,0,0,投,8,2,1,1,0,0,0,1,0,ジョンソン,http://npb.jp/bis/players/53355130.html,94,25,3.2,8,0,4,1,5,0,0,7,5,96,26,2,0,8,1,3,0,3,0,0,3,3
http://npb.jp/scores/2017/0331/f-l-01/box.html,2017年3月31日（金）,埼玉西武ライオンズ,北海道日本ハムファイターズ,札幌ドーム,0,8,1,1,9,0,"            【試合終了】            ◇開始 18時30分      ◇試合時間 3時間      ◇入場者 41,138人    ",秋山,http://npb.jp/bis/players/31135133.html,5,0,0,0,0,1,0,0,0,0,中,田代,http://npb.jp/bis/players/41045135.html,5,0,0,0,0,2,0,0,0,0,左,浅村,http://npb.jp/bis/players/51155118.html,5,4,1,0,1,0,0,0,1,0,二,中村,http://npb.jp/bis/players/81085115.html,4,1,1,0,0,0,1,0,1,0,三,栗山,http://npb.jp/bis/players/51755115.html,4,3,2,0,0,1,0,0,1,0,指,メヒア,http://npb.jp/bis/players/83385139.html,4,0,0,0,0,2,0,0,1,0,一,木村文,http://npb.jp/bis/players/41745114.html,3,0,0,0,0,2,1,0,1,0,右,炭谷,http://npb.jp/bis/players/91995112.html,4,1,1,0,0,0,0,0,1,捕,源田,http://npb.jp/bis/players/71775134.html,2,0,0,0,0,0,0,0,1,0,遊,0,0,0,0,0,0,0,0,0,菊池,http://npb.jp/bis/players/51755131.html,96,26,7,4,1,2,0,4,1,0,1,1,41,10,1,0,1,0,3,0,3,0,0,0,0
http://npb.jp/scores/2017/0331/f-l-01/box.html,2017年3月31日（金）,北海道日本ハムファイターズ,埼玉西武ライオンズ,札幌ドーム,1,1,8,0,5,2,"            【試合終了】            ◇開始 18時30分      ◇試合時間 3時間      ◇入場者 41,138人    ",西川,http://npb.jp/bis/players/21225133.html,3,1,0,0,0,0,1,0,0,0,左,田中賢介,http://npb.jp/bis/players/11915111.html,4,1,0,0,0,0,0,0,0,0,二,大谷,http://npb.jp/bis/players/01305137.html,4,2,1,0,0,2,0,0,0,0,指,中田,http://npb.jp/bis/players/61065116.html,4,0,0,0,0,1,0,0,0,0,一,近藤,http://npb.jp/bis/players/41745135.html,2,0,0,0,0,0,2,0,0,0,右,レアード,http://npb.jp/bis/players/23525130.html,4,0,0,0,0,2,0,0,0,0,三,岡,http://npb.jp/bis/players/11515139.html,3,0,0,0,0,1,0,0,0,0,中,市川,http://npb.jp/bis/players/81185131.html,3,1,0,0,1,0,0,0,1,捕,中島卓也,http://npb.jp/bis/players/11215118.html,3,0,0,0,0,0,1,0,0,0,遊,1,0,0,1,0,0,0,1,0,有原,http://npb.jp/bis/players/51155130.html,100,27,5.2,6,0,2,0,4,0,0,6,4,46,13,1,0,3,1,0,0,4,0,0,2,2
http://npb.jp/scores/2017/0331/bs-e-01/box.html,2017年3月31日（金）,東北楽天ゴールデンイーグルス,オリックス・バファローズ,京セラD大阪,0,6,4,1,9,0,"            【試合終了】            ◇開始 18時30分      ◇試合時間 4時間5分      ◇入場者 36,154人    ",茂木,http://npb.jp/bis/players/61865132.html,5,2,1,0,0,1,1,0,0,0,遊,ペゲーロ,http://npb.jp/bis/players/83085132.html,5,2,0,0,1,0,1,0,2,0,右,ウィーラー,http://npb.jp/bis/players/03105130.html,5,0,0,0,0,0,1,0,0,1,三,アマダー,http://npb.jp/bis/players/23325132.html,6,0,0,0,0,4,0,0,0,0,指,銀次,http://npb.jp/bis/players/71375112.html,4,1,0,0,1,1,1,0,1,0,二一,今江,http://npb.jp/bis/players/01305115.html,4,3,2,0,0,1,1,0,1,0,一,島内,http://npb.jp/bis/players/71975135.html,4,0,0,0,0,0,1,0,1,1,中,聖澤,http://npb.jp/bis/players/61265116.html,4,1,0,0,0,1,1,0,0,左,嶋,http://npb.jp/bis/players/01905114.html,4,0,0,0,0,2,1,0,0,0,捕,0,0,0,0,0,0,0,0,0,美馬,http://npb.jp/bis/players/01605133.html,81,23,6,6,0,0,0,6,0,0,3,3,83,20,1,0,4,1,2,0,6,1,1,1,1
http://npb.jp/scores/2017/0331/bs-e-01/box.html,2017年3月31日（金）,オリックス・バファローズ,東北楽天ゴールデンイーグルス,京セラD大阪,1,4,6,0,10,2,"            【試合終了】            ◇開始 18時30分      ◇試合時間 4時間5分      ◇入場者 36,154人    ",安達,http://npb.jp/bis/players/31135135.html,4,1,0,1,0,1,1,0,2,0,遊,西野,http://npb.jp/bis/players/91495130.html,5,0,0,0,0,3,0,0,0,0,二,中島,http://npb.jp/bis/players/01005113.html,5,2,0,0,0,0,0,0,0,0,指,ロメロ,http://npb.jp/bis/players/73975134.html,5,0,0,0,0,3,0,0,0,0,右,小谷野,http://npb.jp/bis/players/71975117.html,4,3,0,0,0,0,1,0,0,0,三,T-岡田,http://npb.jp/bis/players/61365112.html,5,2,0,0,1,2,0,0,1,0,一,小島,http://npb.jp/bis/players/91795135.html,2,0,0,0,0,0,0,0,0,0,左,若月,http://npb.jp/bis/players/41645139.html,1,0,0,0,0,1,0,0,0,捕,駿太,http://npb.jp/bis/players/81785133.html,4,0,0,0,0,1,0,0,0,0,中,6,2,1,1,0,0,0,0,0,金子千尋,http://npb.jp/bis/players/41345110.html,109,27,5,6,1,5,0,3,0,0,4,2,96,22,1,0,3,1,3,0,7,0,0,2,2
