url,date,team,opponent,place,home,runs,opponent_runs,victory,hits,errors,game_info,batter1_name,batter1_url,batter1_at_bat,batter1_hit,batter1_two_hit,batter1_three_hit,batter1_homerun,batter1_strikeout,batter1_four_balls,batter1_dead_ball,batter1_rbi,batter1_steal,batter1_position,batter2_name,batter2_url,batter2_at_bat,batter2_hit,batter2_two_hit,batter2_three_hit,batter2_homerun,batter2_strikeout,batter2_four_balls,batter2_dead_ball,batter2_rbi,batter2_steal,batter2_position,batter3_name,batter3_url,batter3_at_bat,batter3_hit,batter3_two_hit,batter3_three_hit,batter3_homerun,batter3_strikeout,batter3_four_balls,batter3_dead_ball,batter3_rbi,batter3_steal,batter3_position,batter4_name,batter4_url,batter4_at_bat,batter4_hit,batter4_two_hit,batter4_three_hit,batter4_homerun,batter4_strikeout,batter4_four_balls,batter4_dead_ball,batter4_rbi,batter4_steal,batter4_position,batter5_name,batter5_url,batter5_at_bat,batter5_hit,batter5_two_hit,batter5_three_hit,batter5_homerun,batter5_strikeout,batter5_four_balls,batter5_dead_ball,batter5_rbi,batter5_steal,batter5_position,batter6_name,batter6_url,batter6_at_bat,batter6_hit,batter6_two_hit,batter6_three_hit,batter6_homerun,batter6_strikeout,batter6_four_balls,batter6_dead_ball,batter6_rbi,batter6_steal,batter6_position,batter7_name,batter7_url,batter7_at_bat,batter7_hit,batter7_two_hit,batter7_three_hit,batter7_homerun,batter7_steal,batter7_strikeout,batter7_four_balls,batter7_rbi,batter7_run,batter7_dead_ball,batter8_name,batter8_url,batter8_at_bat,batter8_hit,batter8_two_hit,batter8_three_hit,batter8_homerun,batter8_steal,batter8_strikeout,batter8_four_balls,batter8_rbi,batter8_run,batter8_dead_ball,batter9_name,batter9_url,batter9_at_bat,batter9_hit,batter9_two_hit,batter9_three_hit,batter9_homerun,batter9_strikeout,batter9_four_balls,batter9_dead_ball,batter9_rbi,batter9_steal,batter9_position,other_batters_at_bat,other_batters_hit,other_batters_steal,other_batters_strikeout,other_batters_two_hit,other_batters_three_hit,other_batters_homerun,other_batters_four_balls,other_batters_dead_ball,st_name,st_url,st_pitches,st_batters,st_times,st_hits,st_homerun,st_four_balls,st_dead_ball,st_strikeout,st_wild_pitches,st_boke,st_runs,st_responsible_runs,re_pitches,re_batters,re_times,re_times_decimal,re_hits,re_homerun,re_four_balls,re_dead_ball,re_strikeout,re_wild_pitches,re_boke,re_runs,re_responsible_runs
http://npb.jp/scores/2019/0329/db-d-01/box.html,2019年3月29日（金）,中日ドラゴンズ,横浜DeNAベイスターズ,横　浜,0,1,8,0,7,0,"            【試合終了】            ◇開始 18時30分      ◇試合時間 3時間19分      ◇入場者 31,838人    ",平田,http://npb.jp/bis/players/61265112.html,4,1,0,0,0,0,0,0,0,0,右,大島,http://npb.jp/bis/players/01305131.html,4,1,0,0,0,2,0,0,0,1,中,アルモンテ,http://npb.jp/bis/players/43345136.html,3,0,0,0,0,2,1,0,0,0,左,ビシエド,http://npb.jp/bis/players/13715132.html,4,1,0,0,0,0,0,0,0,0,一,堂上,http://npb.jp/bis/players/01205114.html,4,1,0,0,0,1,0,0,0,0,遊,高橋,http://npb.jp/bis/players/91095135.html,4,1,1,0,0,2,0,0,0,0,三,阿部,http://npb.jp/bis/players/61165132.html,3,1,0,0,0,1,0,0,0,0,二,加藤,http://npb.jp/bis/players/41545130.html,3,1,0,0,0,2,0,0,0,0,捕,笠原,http://npb.jp/bis/players/31535134.html,1,0,0,0,0,1,0,0,0,0,投,4,0,1,1,0,0,0,0,0,笠原,http://npb.jp/bis/players/31535134.html,88,21,5,4,0,2,0,1,0,0,0,0,98,20,1,0,9,1,1,1,4,0,0,8,8
http://npb.jp/scores/2019/0329/db-d-01/box.html,2019年3月29日（金）,横浜DeNAベイスターズ,中日ドラゴンズ,横　浜,1,8,1,1,13,0,"            【試合終了】            ◇開始 18時30分      ◇試合時間 3時間19分      ◇入場者 31,838人    ",梶谷,http://npb.jp/bis/players/61565114.html,3,0,0,0,0,1,1,0,0,0,中,楠本,http://npb.jp/bis/players/61565136.html,2,2,0,0,0,0,2,1,0,0,右,ソト,http://npb.jp/bis/players/03505136.html,4,1,0,0,0,1,0,0,0,0,二,筒香,http://npb.jp/bis/players/41945131.html,5,2,0,0,1,1,0,0,5,0,左,宮﨑,http://npb.jp/bis/players/51455137.html,5,0,0,0,0,0,0,0,0,0,三,ロペス,http://npb.jp/bis/players/93195137.html,4,2,1,0,0,1,0,0,0,0,一,伊藤光,http://npb.jp/bis/players/81185116.html,4,1,0,0,0,0,0,0,0,0,捕,大和,http://npb.jp/bis/players/61465112.html,4,2,0,0,0,0,0,0,0,0,遊,今永,http://npb.jp/bis/players/01305132.html,2,1,0,0,0,0,0,0,0,0,投,3,2,3,1,1,0,0,0,0,今永,http://npb.jp/bis/players/01305132.html,120,30,8,5,0,1,0,11,0,0,0,0,22,5,1,0,2,0,0,0,1,0,0,1,1
http://npb.jp/scores/2019/0329/t-s-01/box.html,2019年3月29日（金）,東京ヤクルトスワローズ,阪神タイガース,京セラD大阪,0,1,2,0,8,1,"            【試合終了】            ◇開始 18時01分      ◇試合時間 3時間29分      ◇入場者 35,820人    ",坂口,http://npb.jp/bis/players/21925117.html,4,2,0,0,0,0,1,0,0,0,一,青木,http://npb.jp/bis/players/31135119.html,5,4,2,0,0,0,0,0,0,0,中,山田哲,http://npb.jp/bis/players/91895133.html,3,1,0,0,0,0,1,0,0,0,二,バレンティン,http://npb.jp/bis/players/13315133.html,3,0,0,0,0,1,1,0,0,0,左,雄平,http://npb.jp/bis/players/01005117.html,4,0,0,0,0,0,1,0,0,0,右,村上,http://npb.jp/bis/players/41845136.html,3,0,0,0,0,2,0,0,1,0,三,廣岡,http://npb.jp/bis/players/21625132.html,5,0,0,0,0,3,0,0,0,0,遊三,中村,http://npb.jp/bis/players/51255118.html,4,1,0,0,0,1,0,0,0,0,捕,小川,http://npb.jp/bis/players/11515137.html,3,0,0,0,0,1,0,0,0,0,投,3,0,0,1,0,0,0,0,0,小川,http://npb.jp/bis/players/11515137.html,98,25,7,4,0,0,0,4,0,0,1,0,54,12,0.1,0,2,0,1,0,4,1,0,1,1
http://npb.jp/scores/2019/0329/t-s-01/box.html,2019年3月29日（金）,阪神タイガース,東京ヤクルトスワローズ,京セラD大阪,1,2,1,1,6,0,"            【試合終了】            ◇開始 18時01分      ◇試合時間 3時間29分      ◇入場者 35,820人    ",木浪,http://npb.jp/bis/players/31735138.html,5,0,0,0,0,2,0,0,0,0,遊,近本,http://npb.jp/bis/players/71075138.html,4,1,0,1,0,1,0,0,1,0,中,糸井,http://npb.jp/bis/players/91195119.html,3,1,0,0,0,0,1,0,0,0,右,大山,http://npb.jp/bis/players/21325134.html,4,1,0,0,0,0,0,0,0,0,三一,福留,http://npb.jp/bis/players/61963888.html,4,0,0,0,0,1,0,0,0,0,左,ナバーロ,http://npb.jp/bis/players/93995136.html,3,1,1,0,0,1,0,0,0,0,一,糸原,http://npb.jp/bis/players/81185134.html,4,0,0,0,0,1,0,0,0,0,二三,梅野,http://npb.jp/bis/players/21325139.html,4,1,0,0,0,1,0,0,0,0,捕,メッセンジャー,http://npb.jp/bis/players/93195131.html,2,0,0,0,0,1,0,0,0,0,投,3,1,0,0,0,1,0,0,0,メッセンジャー,http://npb.jp/bis/players/93195131.html,112,27,7,6,0,3,0,5,0,0,1,1,62,16,1,0,2,0,2,0,4,0,0,0,0
http://npb.jp/scores/2019/0329/c-g-01/box.html,2019年3月29日（金）,読売ジャイアンツ,広島東洋カープ,マツダスタジアム,0,0,5,0,8,2,"            【試合終了】            ◇開始 18時01分      ◇試合時間 3時間3分      ◇入場者 31,700人    ",吉川尚,http://npb.jp/bis/players/73375134.html,5,3,0,0,0,0,0,0,0,0,二,坂本勇,http://npb.jp/bis/players/51955114.html,4,1,0,0,0,2,0,0,0,0,遊,丸,http://npb.jp/bis/players/21425116.html,4,0,0,0,0,4,0,0,0,0,中,岡本,http://npb.jp/bis/players/11515130.html,4,1,0,0,0,3,0,0,0,0,一,陽,http://npb.jp/bis/players/21825112.html,4,1,0,0,0,1,0,0,0,0,右,亀井,http://npb.jp/bis/players/81385110.html,3,1,0,0,0,1,1,0,0,0,左,田中俊,http://npb.jp/bis/players/81085136.html,4,0,0,0,0,0,0,0,0,0,三,小林,http://npb.jp/bis/players/91795139.html,3,1,0,0,0,0,0,0,0,0,捕,菅野,http://npb.jp/bis/players/41745137.html,1,0,0,0,0,0,0,0,0,0,投,2,0,0,0,0,0,0,1,0,菅野,http://npb.jp/bis/players/41745137.html,102,27,7,4,1,3,0,3,0,0,1,1,18,8,0.1,0,3,0,2,0,0,0,0,4,2
http://npb.jp/scores/2019/0329/c-g-01/box.html,2019年3月29日（金）,広島東洋カープ,読売ジャイアンツ,マツダスタジアム,1,5,0,1,7,1,"            【試合終了】            ◇開始 18時01分      ◇試合時間 3時間3分      ◇入場者 31,700人    ",田中広,http://npb.jp/bis/players/61965139.html,3,1,0,0,0,1,1,0,0,0,遊,菊池涼,http://npb.jp/bis/players/61565135.html,3,0,0,0,0,0,0,0,0,0,二,西川,http://npb.jp/bis/players/71475132.html,4,1,0,0,0,0,0,0,0,0,左,鈴木,http://npb.jp/bis/players/81785137.html,2,1,0,0,0,0,1,0,0,0,右,松山,http://npb.jp/bis/players/01405116.html,2,0,0,0,0,0,1,0,0,0,一,野間,http://npb.jp/bis/players/01405130.html,4,2,0,0,0,0,0,0,1,0,中,會澤,http://npb.jp/bis/players/31135114.html,4,1,1,0,0,0,0,0,2,0,捕,安部,http://npb.jp/bis/players/91195116.html,4,1,0,0,1,0,0,0,1,0,三,大瀬良,http://npb.jp/bis/players/61365139.html,3,0,0,0,0,2,0,0,0,0,投,0,0,0,0,0,0,0,1,0,大瀬良,http://npb.jp/bis/players/61365139.html,124,31,8,7,0,1,0,11,0,0,0,0,21,6,1,0,1,0,1,0,0,0,0,0,0
http://npb.jp/scores/2019/0329/f-b-01/box.html,2019年3月29日（金）,オリックス・バファローズ,北海道日本ハムファイターズ,札幌ドーム,0,3,7,0,10,1,"            【試合終了】            ◇開始 18時31分      ◇試合時間 3時間28分      ◇入場者 41,138人    ",福田,http://npb.jp/bis/players/01605136.html,5,3,0,0,0,0,0,0,0,2,二,西浦,http://npb.jp/bis/players/31435136.html,5,2,0,0,0,3,0,0,1,1,中,メネセス,http://npb.jp/bis/players/83385138.html,3,1,0,0,0,0,2,0,0,0,指,吉田正,http://npb.jp/bis/players/63165132.html,4,0,0,0,0,2,1,0,0,0,左,頓宮,http://npb.jp/bis/players/81085138.html,4,2,1,0,0,2,0,0,2,0,三,小田,http://npb.jp/bis/players/31535130.html,5,0,0,0,0,0,0,0,0,0,右左,T-岡田,http://npb.jp/bis/players/61365112.html,4,1,0,0,0,1,1,0,0,0,一,若月,http://npb.jp/bis/players/41645139.html,4,1,1,0,0,2,0,0,0,0,捕,安達,http://npb.jp/bis/players/31135135.html,4,0,0,0,0,0,0,0,0,0,遊,1,0,0,1,0,0,0,0,0,山岡,http://npb.jp/bis/players/83185134.html,110,31,8,4,0,2,0,7,0,0,3,3,29,9,0.1,0,2,1,3,0,2,0,0,4,4
http://npb.jp/scores/2019/0329/f-b-01/box.html,2019年3月29日（金）,北海道日本ハムファイターズ,オリックス・バファローズ,札幌ドーム,1,7,3,1,6,1,"            【試合終了】            ◇開始 18時31分      ◇試合時間 3時間28分      ◇入場者 41,138人    ",淺間,http://npb.jp/bis/players/31135130.html,4,1,0,0,0,1,0,0,0,0,三,西川,http://npb.jp/bis/players/21225133.html,3,0,0,0,0,0,1,0,0,0,中,近藤,http://npb.jp/bis/players/41745135.html,4,2,0,0,0,1,0,0,3,0,指,中田,http://npb.jp/bis/players/61065116.html,5,1,0,0,1,1,0,0,4,0,一,王,http://npb.jp/bis/players/23525138.html,4,0,0,0,0,1,0,0,0,0,左,大田,http://npb.jp/bis/players/41345118.html,3,0,0,0,0,1,1,0,0,0,右,石井,http://npb.jp/bis/players/21125134.html,4,0,0,0,0,2,0,0,0,0,二,鶴岡,http://npb.jp/bis/players/71275117.html,2,0,0,0,0,1,0,0,0,0,捕,中島卓也,http://npb.jp/bis/players/11215118.html,3,2,2,0,0,0,1,0,0,0,遊,2,0,0,1,0,0,0,0,0,上沢,http://npb.jp/bis/players/51355135.html,115,29,6,8,0,3,0,5,0,0,3,3,69,14,1,0,2,0,1,0,6,1,0,0,0
http://npb.jp/scores/2019/0329/m-e-01/box.html,2019年3月29日（金）,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,ZOZOマリン,0,4,5,0,6,0,"            【試合終了】            ◇開始 18時31分      ◇試合時間 3時間8分      ◇入場者 30,308人    ",田中,http://npb.jp/bis/players/11215134.html,3,0,0,0,0,0,1,0,0,0,中,茂木,http://npb.jp/bis/players/61865132.html,4,1,0,0,0,2,0,0,0,0,遊,浅村,http://npb.jp/bis/players/51155118.html,4,1,0,0,0,0,0,0,0,0,二,島内,http://npb.jp/bis/players/71975135.html,4,1,0,0,0,1,0,0,0,0,左,ウィーラー,http://npb.jp/bis/players/03105130.html,4,1,0,0,1,0,0,0,2,0,三,銀次,http://npb.jp/bis/players/71375112.html,3,1,0,0,0,0,1,0,0,0,一,ブラッシュ,http://npb.jp/bis/players/23325138.html,4,1,0,0,0,1,0,0,2,0,指,嶋,http://npb.jp/bis/players/01905114.html,3,0,0,0,0,0,0,0,0,0,捕,オコエ,http://npb.jp/bis/players/01505132.html,3,0,0,0,0,2,0,0,0,0,右,1,0,0,0,0,0,0,0,0,岸,http://npb.jp/bis/players/91795114.html,53,17,4.1,2,2,2,0,4,0,0,2,2,76,16,1,0,4,1,1,0,2,0,0,3,3
http://npb.jp/scores/2019/0329/m-e-01/box.html,2019年3月29日（金）,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,ZOZOマリン,1,5,4,1,6,1,"            【試合終了】            ◇開始 18時31分      ◇試合時間 3時間8分      ◇入場者 30,308人    ",藤原,http://npb.jp/bis/players/31635138.html,4,1,0,0,0,1,0,0,0,0,中,加藤,http://npb.jp/bis/players/91595137.html,4,1,0,0,1,0,0,0,1,0,右,中村奨,http://npb.jp/bis/players/51455130.html,4,2,0,0,1,0,0,0,1,0,二,井上,http://npb.jp/bis/players/11315139.html,4,0,0,0,0,1,0,0,0,0,一,角中,http://npb.jp/bis/players/41545114.html,3,1,0,0,0,0,1,0,0,0,左,レアード,http://npb.jp/bis/players/23525130.html,3,1,0,0,1,1,1,0,3,0,三,バルガス,http://npb.jp/bis/players/53355138.html,2,0,0,0,0,1,1,0,0,0,指,田村,http://npb.jp/bis/players/41945137.html,3,0,0,0,0,1,0,0,0,0,捕,藤岡,http://npb.jp/bis/players/41645136.html,3,0,0,0,0,1,0,0,0,0,遊,0,0,0,0,0,0,0,0,0,石川,http://npb.jp/bis/players/41145139.html,106,25,5.2,6,1,2,0,2,0,0,4,4,36,10,1,0,0,0,0,0,4,0,0,0,0
