name,position,pitching_and_batting,height_and_weight,birthday,career,draft,team_2010,match_2010,plate_appearance_2010,at_bat_2010,run_2010,hit_2010,two_hit_2010,three_hit_2010,homerun_2010,total_base_2010,rbi_2010,steal_2010,steal_death_2010,sacrifice_bunt_2010,sacrifice_fly_2010,four_balls_2010,dead_ball_2010,strikeout_2010,double_play_2010,batting_ave_2010,slugging_ave_2010,on_base_ave_2010,pitching_appearance_2010,win_2010,lose_2010,save_2010,hold_2010,hold_point_2010,complete_game_2010,shutout_2010,no_four_balls_2010,win_rate_2010,batter_2010,time_2010,give_up_hit_2010,give_up_home_run_2010,give_four_balls_2010,give_dead_ball_2010,get_strikeout_2010,wild_pitch_2010,boke_2010,give_run_2010,give_responsible_run_2010,earned_run_ave_2010,team_2011,match_2011,plate_appearance_2011,at_bat_2011,run_2011,hit_2011,two_hit_2011,three_hit_2011,homerun_2011,total_base_2011,rbi_2011,steal_2011,steal_death_2011,sacrifice_bunt_2011,sacrifice_fly_2011,four_balls_2011,dead_ball_2011,strikeout_2011,double_play_2011,batting_ave_2011,slugging_ave_2011,on_base_ave_2011,pitching_appearance_2011,win_2011,lose_2011,save_2011,hold_2011,hold_point_2011,complete_game_2011,shutout_2011,no_four_balls_2011,win_rate_2011,batter_2011,time_2011,give_up_hit_2011,give_up_home_run_2011,give_four_balls_2011,give_dead_ball_2011,get_strikeout_2011,wild_pitch_2011,boke_2011,give_run_2011,give_responsible_run_2011,earned_run_ave_2011,team_2012,match_2012,plate_appearance_2012,at_bat_2012,run_2012,hit_2012,two_hit_2012,three_hit_2012,homerun_2012,total_base_2012,rbi_2012,steal_2012,steal_death_2012,sacrifice_bunt_2012,sacrifice_fly_2012,four_balls_2012,dead_ball_2012,strikeout_2012,double_play_2012,batting_ave_2012,slugging_ave_2012,on_base_ave_2012,pitching_appearance_2012,win_2012,lose_2012,save_2012,hold_2012,hold_point_2012,complete_game_2012,shutout_2012,no_four_balls_2012,win_rate_2012,batter_2012,time_2012,give_up_hit_2012,give_up_home_run_2012,give_four_balls_2012,give_dead_ball_2012,get_strikeout_2012,wild_pitch_2012,boke_2012,give_run_2012,give_responsible_run_2012,earned_run_ave_2012,team_2013,match_2013,plate_appearance_2013,at_bat_2013,run_2013,hit_2013,two_hit_2013,three_hit_2013,homerun_2013,total_base_2013,rbi_2013,steal_2013,steal_death_2013,sacrifice_bunt_2013,sacrifice_fly_2013,four_balls_2013,dead_ball_2013,strikeout_2013,double_play_2013,batting_ave_2013,slugging_ave_2013,on_base_ave_2013,pitching_appearance_2013,win_2013,lose_2013,save_2013,hold_2013,hold_point_2013,complete_game_2013,shutout_2013,no_four_balls_2013,win_rate_2013,batter_2013,time_2013,give_up_hit_2013,give_up_home_run_2013,give_four_balls_2013,give_dead_ball_2013,get_strikeout_2013,wild_pitch_2013,boke_2013,give_run_2013,give_responsible_run_2013,earned_run_ave_2013,team_2014,match_2014,plate_appearance_2014,at_bat_2014,run_2014,hit_2014,two_hit_2014,three_hit_2014,homerun_2014,total_base_2014,rbi_2014,steal_2014,steal_death_2014,sacrifice_bunt_2014,sacrifice_fly_2014,four_balls_2014,dead_ball_2014,strikeout_2014,double_play_2014,batting_ave_2014,slugging_ave_2014,on_base_ave_2014,pitching_appearance_2014,win_2014,lose_2014,save_2014,hold_2014,hold_point_2014,complete_game_2014,shutout_2014,no_four_balls_2014,win_rate_2014,batter_2014,time_2014,give_up_hit_2014,give_up_home_run_2014,give_four_balls_2014,give_dead_ball_2014,get_strikeout_2014,wild_pitch_2014,boke_2014,give_run_2014,give_responsible_run_2014,earned_run_ave_2014,team_2015,match_2015,plate_appearance_2015,at_bat_2015,run_2015,hit_2015,two_hit_2015,three_hit_2015,homerun_2015,total_base_2015,rbi_2015,steal_2015,steal_death_2015,sacrifice_bunt_2015,sacrifice_fly_2015,four_balls_2015,dead_ball_2015,strikeout_2015,double_play_2015,batting_ave_2015,slugging_ave_2015,on_base_ave_2015,pitching_appearance_2015,win_2015,lose_2015,save_2015,hold_2015,hold_point_2015,complete_game_2015,shutout_2015,no_four_balls_2015,win_rate_2015,batter_2015,time_2015,give_up_hit_2015,give_up_home_run_2015,give_four_balls_2015,give_dead_ball_2015,get_strikeout_2015,wild_pitch_2015,boke_2015,give_run_2015,give_responsible_run_2015,earned_run_ave_2015,team_2016,match_2016,plate_appearance_2016,at_bat_2016,run_2016,hit_2016,two_hit_2016,three_hit_2016,homerun_2016,total_base_2016,rbi_2016,steal_2016,steal_death_2016,sacrifice_bunt_2016,sacrifice_fly_2016,four_balls_2016,dead_ball_2016,strikeout_2016,double_play_2016,batting_ave_2016,slugging_ave_2016,on_base_ave_2016,pitching_appearance_2016,win_2016,lose_2016,save_2016,hold_2016,hold_point_2016,complete_game_2016,shutout_2016,no_four_balls_2016,win_rate_2016,batter_2016,time_2016,give_up_hit_2016,give_up_home_run_2016,give_four_balls_2016,give_dead_ball_2016,get_strikeout_2016,wild_pitch_2016,boke_2016,give_run_2016,give_responsible_run_2016,earned_run_ave_2016,team_2017,match_2017,plate_appearance_2017,at_bat_2017,run_2017,hit_2017,two_hit_2017,three_hit_2017,homerun_2017,total_base_2017,rbi_2017,steal_2017,steal_death_2017,sacrifice_bunt_2017,sacrifice_fly_2017,four_balls_2017,dead_ball_2017,strikeout_2017,double_play_2017,batting_ave_2017,slugging_ave_2017,on_base_ave_2017,pitching_appearance_2017,win_2017,lose_2017,save_2017,hold_2017,hold_point_2017,complete_game_2017,shutout_2017,no_four_balls_2017,win_rate_2017,batter_2017,time_2017,give_up_hit_2017,give_up_home_run_2017,give_four_balls_2017,give_dead_ball_2017,get_strikeout_2017,wild_pitch_2017,boke_2017,give_run_2017,give_responsible_run_2017,earned_run_ave_2017,team_2018,match_2018,plate_appearance_2018,at_bat_2018,run_2018,hit_2018,two_hit_2018,three_hit_2018,homerun_2018,total_base_2018,rbi_2018,steal_2018,steal_death_2018,sacrifice_bunt_2018,sacrifice_fly_2018,four_balls_2018,dead_ball_2018,strikeout_2018,double_play_2018,batting_ave_2018,slugging_ave_2018,on_base_ave_2018,pitching_appearance_2018,win_2018,lose_2018,save_2018,hold_2018,hold_point_2018,complete_game_2018,shutout_2018,no_four_balls_2018,win_rate_2018,batter_2018,time_2018,give_up_hit_2018,give_up_home_run_2018,give_four_balls_2018,give_dead_ball_2018,get_strikeout_2018,wild_pitch_2018,boke_2018,give_run_2018,give_responsible_run_2018,earned_run_ave_2018,team_2019,match_2019,plate_appearance_2019,at_bat_2019,run_2019,hit_2019,two_hit_2019,three_hit_2019,homerun_2019,total_base_2019,rbi_2019,steal_2019,steal_death_2019,sacrifice_bunt_2019,sacrifice_fly_2019,four_balls_2019,dead_ball_2019,strikeout_2019,double_play_2019,batting_ave_2019,slugging_ave_2019,on_base_ave_2019,pitching_appearance_2019,win_2019,lose_2019,save_2019,hold_2019,hold_point_2019,complete_game_2019,shutout_2019,no_four_balls_2019,win_rate_2019,batter_2019,time_2019,give_up_hit_2019,give_up_home_run_2019,give_four_balls_2019,give_dead_ball_2019,get_strikeout_2019,wild_pitch_2019,boke_2019,give_run_2019,give_responsible_run_2019,earned_run_ave_2019
森野　将彦,-,右投左打,180cm／85kg,1978年7月28日,東海大相模高,1996年ドラフト2位,中日,144,626,547,85,179,45,2,22,294,84,2,3,2,7,64,6,77,16,.327,.537,.399,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,142,595,508,46,118,19,0,10,167,45,0,0,13,5,64,5,89,9,.232,.329,.321,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,124,494,434,45,108,23,1,6,151,50,1,0,4,4,49,3,68,13,.249,.348,.327,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,134,457,399,53,114,20,1,16,184,51,1,0,2,2,54,0,61,10,.286,.461,.369,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,141,588,507,64,146,34,0,13,219,86,3,0,5,6,69,1,66,20,.288,.432,.370,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,82,252,206,25,54,8,0,0,62,10,2,0,3,3,37,3,38,0,.262,.301,.378,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,68,170,142,14,38,6,0,1,47,15,0,0,0,0,26,2,24,1,.268,.331,.388,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,22,48,41,4,10,2,0,0,12,1,0,1,2,0,5,0,3,1,.244,.293,.326,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
新井　貴浩,-,右投右打,189cm／102kg,1977年1月30日,広島工-駒沢大,1998年ドラフト6位,阪神,144,641,570,96,177,42,0,19,276,112,7,2,0,8,52,11,89,19,.311,.484,.374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,阪神,144,602,550,68,148,25,3,17,230,93,5,0,0,7,41,4,106,20,.269,.418,.321,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,阪神,122,493,460,46,115,25,0,9,167,52,1,3,0,2,30,1,85,12,.250,.363,.296,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,阪神,140,548,476,60,127,20,0,15,192,70,2,3,0,7,60,5,110,17,.267,.403,.350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,阪神,94,194,176,13,43,6,0,3,58,31,0,0,0,1,15,2,33,6,.244,.330,.309,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島東洋,125,480,426,52,117,22,2,7,164,57,3,0,0,4,48,2,73,15,.275,.385,.348,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島東洋,132,513,454,66,136,23,2,19,220,101,0,1,0,4,54,1,101,12,.300,.485,.372,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島東洋,100,288,243,36,71,14,0,9,112,48,2,0,0,4,40,1,56,7,.292,.461,.389,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島東洋,63,132,114,7,25,3,1,4,42,24,0,0,0,4,14,0,26,4,.219,.368,.295,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
山岡　泰輔,投手,右投左打,172cm／68kg,1995年9月22日,瀬戸内高-東京ガス,2016年ドラフト1位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,オリックス,24,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,24,8,11,0,0,0,2,1,1,.421,618,149.1,136,8,54,2,133,7,0,62,62,3.74,オリックス,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,30,7,12,0,4,4,1,1,0,.368,619,146,137,21,49,6,121,4,1,71,64,3.95,オリックス,26,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,26,13,4,0,0,0,2,0,1,.765,699,170,154,16,45,4,154,2,0,77,70,3.71
Ｄ．ハフ,投手,左投両打,185cm／95kg,1984年8月22日,カリフォルニア大ロサンゼルス校-インディアンス-ヤンキース-ジャイアンツ-ヤンキース-ドジャース-エンゼルス-韓国・LG,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,東京ヤクルト,35,22,20,0,2,1,0,0,3,0,0,0,2,0,0,0,13,0,.100,.150,.100,35,3,6,0,7,9,0,0,0,.333,411,94.1,105,13,27,4,78,0,0,54,51,4.87,東京ヤクルト,68,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.000,.000,.000,68,1,5,3,26,27,0,0,0,.167,271,65.2,58,6,21,1,58,0,0,31,29,3.97
縞田　拓弥,-,右投右打,180cm／80kg,1987年1月22日,東福岡高-日本大-JR東日本,2011年ドラフト2位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,オリックス,28,51,44,2,8,2,0,0,10,2,0,0,5,0,2,0,11,0,.182,.227,.217,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,オリックス,51,40,35,6,5,1,1,0,8,3,0,0,2,0,3,0,14,0,.143,.229,.211,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,オリックス,36,29,24,4,3,1,0,1,7,1,2,0,2,0,3,0,11,1,.125,.292,.222,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,オリックス,80,152,133,17,30,10,1,2,48,16,3,0,6,1,12,0,30,1,.226,.361,.288,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,オリックス,31,46,42,4,7,1,0,1,11,3,0,0,2,0,2,0,8,1,.167,.262,.205,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,オリックス,5,9,7,0,1,0,0,0,1,1,0,0,0,0,2,0,1,1,.143,.143,.333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｔ．エップラー,投手,右投右打,196cm／104kg,1993年1月5日,サムヒューストン州大-米マイナー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,オリックス,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,24,4,4,0,3,7,0,0,0,.500,137,31.1,41,2,9,0,25,2,0,16,14,4.02
菅野　剛士,外野手,右投左打,171cm／83kg,1993年5月6日,東海大相模高-明治大-日立製作所,2017年ドラフト4位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,千葉ロッテ,53,161,131,15,23,3,2,2,36,18,1,0,4,1,20,5,27,4,.176,.275,.306,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,千葉ロッテ,28,73,66,7,13,2,0,3,24,7,0,0,0,0,6,1,11,0,.197,.364,.274,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
井手　正太郎,-,右投右打,179cm／85kg,1983年10月10日,日南学園高,2001年ドラフト8巡目,横浜,49,114,104,7,21,8,0,1,32,5,1,1,3,0,7,0,22,4,.202,.308,.252,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜,13,24,23,1,5,0,0,0,5,1,0,0,1,0,0,0,6,0,.217,.217,.217,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜DeNA,11,30,28,2,6,2,0,2,14,3,0,0,0,0,2,0,2,2,.214,.500,.267,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜DeNA,32,99,87,16,27,4,0,0,31,11,0,0,1,3,7,1,11,4,.310,.356,.357,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜DeNA,36,77,73,7,15,3,0,3,27,13,0,0,0,1,3,0,20,2,.205,.370,.234,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜DeNA,40,102,98,8,25,7,0,4,44,13,0,0,0,1,3,0,28,0,.255,.449,.275,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜DeNA,11,29,27,4,7,0,0,1,10,4,0,0,0,1,1,0,5,0,.259,.370,.276,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
小野　泰己,投手,右投右打,186cm／74kg,1994年5月30日,折尾愛真高-富士大,2016年ドラフト2位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,阪神,15,24,19,0,1,0,0,0,1,0,0,0,4,0,1,0,7,0,.053,.053,.100,15,2,7,0,0,0,0,0,0,.222,343,78.2,78,6,40,5,63,4,0,38,38,4.35,阪神,23,44,36,3,2,1,0,0,3,1,0,0,7,0,1,0,26,0,.056,.083,.081,23,7,7,0,0,0,0,0,0,.500,573,126.1,133,10,81,3,96,10,0,71,67,4.77,阪神,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,14,0,1,0,5,5,0,0,0,.000,58,11.2,11,0,13,1,6,0,0,3,3,2.31
岩貞　祐太,投手,左投左打,183cm／82kg,1991年9月5日,必由館高-横浜商科大,2013年ドラフト1位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,阪神,6,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,.000,.000,.000,6,1,4,0,0,0,0,0,0,.200,127,29.1,24,2,15,0,21,0,0,18,15,4.60,阪神,5,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,.000,.000,.000,5,1,1,0,0,0,0,0,0,.500,95,20.2,24,2,11,2,11,3,0,12,10,4.35,阪神,25,50,42,0,3,0,0,0,3,1,0,0,8,0,0,0,26,1,.071,.071,.071,25,10,9,0,0,0,2,2,0,.526,644,158.1,119,10,55,3,156,6,0,56,51,2.90,阪神,18,27,22,2,2,0,0,0,2,0,0,0,5,0,0,0,11,0,.091,.091,.091,18,5,10,0,0,0,0,0,0,.333,428,98,93,14,44,4,93,3,0,56,54,4.96,阪神,23,42,36,0,0,0,0,0,0,0,0,0,2,0,4,0,23,0,.000,.000,.100,23,7,10,0,0,0,1,0,0,.412,554,132,128,18,32,1,122,1,0,56,51,3.48,阪神,8,12,11,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,.000,.000,.083,8,2,4,0,0,0,0,0,0,.333,173,40.1,43,4,15,0,33,0,0,19,18,4.02
